souche_temps_sauvage_t0_vs_mutant_t0	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species
7bb2998114eff0ccc874ab0ae8150c68	132.107698271764	-6.35898300931731	1.39142618898637	-4.57011881740542	4.8744777289495e-06	2.68096275092222e-05	k__unassigned	p__unassigned	c__unassigned	o__unassigned	f__unassigned	g__unassigned	s__unassigned
d53b17476b2afe1a7c7a21ca946395e9	49.042145173261	-7.81144775375082	1.54702641194482	-5.04933056956073	4.43360959098942e-07	3.2513137000589e-06	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_family	g__Bacteroidales_genus	s__Bacteroidales_species
88a4abe161399fb663f20a3249edd2c6	26.1508360422711	0.737746497610152	1.14936802642522	0.64187142903627	0.520956666492116	0.76406977752177	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	s__Aerococcus_viridans
ff2c64ded51bdfc792648dca80a3d375	11.9375281472182	-0.21494926043778	1.4449036251321	-0.148763735310116	0.881740067187398	0.923727689434417	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Intestinibacter	s__Intestinibacter_bartlettii
b82d74b25885f9b7554f0d2c127ec8a4	16.2962157491301	0.33915706039833	0.515462073474059	0.657967051023781	0.51055930353826	0.76406977752177	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_species
e9fd87f2f6db0a1a794a9b505a2aa815	8.4462237813013	-6.17896498857365	3.0061853467014	-2.05541717357968	0.0398387281427142	0.109556502392464	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_animalis
b7176533054c4a045208143afd50f67b	2.48123441573022	0.287680720883037	1.60440339860715	0.179306975498048	0.857696669961948	0.923727689434417	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_species
542870b5c028dea2cf7adbddcf28f104	2.48356131768734	1.30753960690368	1.51655314321859	0.862178561134152	0.388589265330651	0.712413653106193	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_species
09e64bf0e07c9a7959b90f5bb78d63b2	2.96028682107126	-0.738874268176509	1.99342845965722	-0.370655021301123	0.710894495401169	0.923727689434417	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_species
1b2586fd024f9faad49d349b7657c7ed	1.14625578327332	-2.28966475459603	1.64956312677057	-1.38804312331994	0.165123914181826	0.403636234666686	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacteriaceae_genus	s__Enterobacteriaceae_species
421400e8da30d18a129be0c772c4e64b	7.92042132869714	-0.933460683255935	1.34719242582496	-0.692893357594647	0.488376478496257	0.76406977752177	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__Christensenella	s__Christensenella_minuta
62e54a2635c0109b7d6edcbda1b3bf06	0.657591916176126	-0.870275646511902	3.04781405700848	-0.28554092547434	0.775229754837202	0.923727689434417	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium	s__Cellulosimicrobium_species
